"molecule","compound"
"ACT12_M_66550","oxamyl"
"ACT12_M_66552","thiocarboxime"
"ACT12_M_66557","thiofanox"
"ACT12_M_66571","carbazate acaricides"
"ACT12_M_66573","bifenazate"
"ACT12_M_66578","dinitrophenol acaricides"
"ACT12_M_66579","binapacryl"
"ACT12_M_66580","dinex"
"ACT12_M_66591","dinobuton"
"ACT12_M_66592","dinocap"
"ACT12_M_66593","dinocap-4"
"ACT12_M_66596","dinocap-6"
"ACT12_M_66601","dinocton"
"ACT12_M_66603","dinopenton"
"ACT12_M_66608","dinosulfon"
"ACT12_M_66609","dinoterbon"
"ACT12_M_66610","DNOC"
"ACT12_M_66612","formamidine acaricides"
"ACT12_M_66613","amitraz"
"ACT12_M_66614","chlordimeform"
"ACT12_M_66615","chloromebuform"
"ACT12_M_66616","formetanate"
"ACT12_M_66617","formparanate"
"ACT12_M_66634","medimeform"
"ACT12_M_66636","semiamitraz"
"ACT12_M_66704","isoxazoline acaricides"
"ACT12_M_66705","afoxolaner"
"ACT12_M_66710","esafoxolaner"
"ACT12_M_66816","fluralaner"
"ACT12_M_66824","lotilaner"
"ACT12_M_66848","sarolaner"
"ACT12_M_66850","tigolaner"
"ACT12_M_66852","macrocyclic lactone acaricides"
"ACT12_M_66870","tetranactin"
"ACT12_M_66872","avermectin acaricides"
"ACT12_M_66874","abamectin"
"ACT12_M_66902","doramectin"
"ACT12_M_66915","eprinomectin"
"ACT12_M_66916","ivermectin"
"ACT12_M_66946","selamectin"
"ACT12_M_66956","milbemycin acaricides"
"ACT12_M_66960","milbemectin"
"ACT12_M_66976","milbemycin oxime"
"ACT12_M_66977","moxidectin"
"ACT12_M_66979","mite growth regulators"
"ACT12_M_66985","clofentezine"
"ACT12_M_66986","cyromazine"
"ACT12_M_66990","diflovidazin"
"ACT12_M_66991","dofenapyn"
"ACT12_M_66992","fluazuron"
"ACT12_M_66993","flubenzimine"
"ACT12_M_67004","flucycloxuron"
"ACT12_M_67007","flufenoxuron"
"ACT12_M_67010","hexythiazox"
"ACT12_M_67014","organochlorine acaricides"
"ACT12_M_67035","bromocyclen"
"ACT12_M_67037","camphechlor"
"ACT12_M_67116","DDT"
"ACT12_M_67121","dienochlor"
"ACT12_M_67124","endosulfan"
"ACT12_M_67125","lindane"
"ACT12_M_67127","organophosphorus acaricides"
"ACT12_M_67128","organophosphate acaricides"
"ACT12_M_67129","chlorfenvinphos"
"ACT12_M_67141","crotoxyphos"
"ACT12_M_67147","dichlorvos"
"ACT12_M_67148","heptenophos"
"ACT12_M_67163","mevinphos"
"ACT12_M_67186","monocrotophos"
"ACT12_M_67192","naled"
"ACT12_M_67193","TEPP"
"ACT12_M_67194","tetrachlorvinphos"
"ACT12_M_67197","organothiophosphate acaricides"
"ACT12_M_67198","amidithion"
"ACT12_M_67199","amiton"
"ACT12_M_67202","azinphos-ethyl"
"ACT12_M_67206","azinphos-methyl"
"ACT12_M_67221","azothoate"
"ACT12_M_67222","benoxafos"
"ACT12_M_67223","bromophos"
"ACT12_M_67237","bromophos-ethyl"
"ACT12_M_67239","carbophenothion"
"ACT12_M_67240","chlorpyrifos"
"ACT12_M_67257","chlorthiophos"
"ACT12_M_67259","coumaphos"
"ACT12_M_67269","cyanthoate"
"ACT12_M_67371","demeton"
"ACT12_M_67410","demeton-O"
"ACT12_M_67411","demeton-S"
"ACT12_M_67412","demeton-methyl"
"ACT12_M_67429","demeton-O-methyl"
"ACT12_M_67430","demeton-S-methyl"
"ACT12_M_67440","demeton-S-methylsulphon"
"ACT12_M_67446","dialifos"
"ACT12_M_67470","diazinon"
"ACT12_M_67476","dimethoate"
"ACT12_M_67491","dioxathion"
"ACT12_M_67498","disulfoton"
"ACT12_M_67522","endothion"
"ACT12_M_67551","ethion"
"ACT12_M_67559","ethoate-methyl"
"ACT12_M_67563","formothion"
"ACT12_M_67564","malathion"
"ACT12_M_67565","mecarbam"
"ACT12_M_67566","methacrifos"
"ACT12_M_67569","omethoate"
"ACT12_M_67596","oxydeprofos"
"ACT12_M_67597","oxydisulfoton"
"ACT12_M_67599","parathion"
"ACT12_M_67600","phenkapton"
"ACT12_M_67607","phorate"
"ACT12_M_67625","phosalone"
"ACT12_M_67649","phosmet"
"ACT12_M_67652","phostin"
"ACT12_M_67653","phoxim"
"ACT12_M_67655","pirimiphos-methyl"
"ACT12_M_67695","prothidathion"
"ACT12_M_67702","prothoate"
"ACT12_M_67704","pyrimitate"
"ACT12_M_67705","quinalphos"
"ACT12_M_67710","quintiofos"
"ACT12_M_67711","sophamide"
"ACT12_M_67712","sulfotep"
"ACT12_M_67713","thiometon"
"ACT12_M_67714","triazophos"
"ACT12_M_67715","trifenofos"
"ACT12_M_67717","vamidothion"
"ACT12_M_67718","phosphonate acaricides"
"ACT12_M_67719","trichlorfon"
"ACT12_M_67720","phosphoramidothioate acaricides"
"ACT12_M_67721","isocarbophos"
"ACT12_M_67723","methamidophos"
"ACT12_M_67724","propetamphos"
"ACT12_M_67725","phosphorodiamide acaricides"
"ACT12_M_67726","dimefox"
"ACT12_M_67727","mipafox"
"ACT12_M_67728","schradan"
"ACT12_M_67729","organotin acaricides"
"ACT12_M_67731","azocyclotin"
"ACT12_M_67732","cyhexatin"
"ACT12_M_67733","fenbutatin oxide"
"ACT12_M_67734","phostin"
"ACT12_M_67735","phenylsulfamide acaricides"
"ACT12_M_67736","dichlofluanid"
"ACT12_M_67737","phthalimide acaricides"
"ACT12_M_67738","dialifos"
"ACT12_M_67739","phosmet"
"ACT12_M_67740","pyrazole acaricides"
"ACT12_M_67741","cyenopyrafen"
"ACT12_M_67743","cyetpyrafen"
"ACT12_M_67744","fenpyroximate"
"ACT12_M_67754","phenylpyrazole acaricides"
"ACT12_M_67756","acetoprole"
"ACT12_M_67757","fipronil"
"ACT12_M_67758","vaniliprole"
"ACT12_M_67760","pyrazolecarboxamide acaricides"
"ACT12_M_67762","pyflubumide"
"ACT12_M_67763","tebufenpyrad"
"ACT12_M_67772","pyrethroid acaricides"
"ACT12_M_67781","pyrethroid ester acaricides"
"ACT12_M_67826","acrinathrin"
"ACT12_M_67827","bifenthrin"
"ACT12_M_67832","brofluthrinate"
"ACT12_M_67844","cyhalothrin"
"ACT12_M_67845","cypermethrin"
"ACT12_M_67850","alpha-cypermethrin"
"ACT12_M_67851","fenpropathrin"
"ACT12_M_67853","fenvalerate"
"ACT12_M_67856","flucythrinate"
"ACT12_M_67858","flumethrin"
"ACT12_M_67859","fluvalinate"
"ACT12_M_67860","tau-fluvalinate"
"ACT12_M_67861","permethrin"
"ACT12_M_67869","pyrethroid ether acaricides"
"ACT12_M_67871","halfenprox"
"ACT12_M_67872","pyrimidinamine acaricides"
"ACT12_M_67903","pyrimidifen"
"ACT12_M_67905","pyrrole acaricides"
"ACT12_M_67912","chlorfenapyr"
"ACT12_M_67913","quaternary ammonium acaricides"
"ACT12_M_67917","sanguinarine"
"ACT12_M_67918","quinoxaline acaricides"
"ACT12_M_67922","chinomethionat"
"ACT12_M_67944","thioquinox"
"ACT12_M_67951","strobilurin acaricides"
"ACT12_M_67952","methoxyacrylate strobilurin acaricides"
"ACT12_M_67957","bifujunzhi"
"ACT12_M_67958","fluacrypyrim"
"ACT12_M_67998","flufenoxystrobin"
"ACT12_M_68000","pyriminostrobin"
"ACT12_M_68096","sulfite ester acaricides"
"ACT12_M_68100","aramite"
"ACT12_M_68101","propargite"
"ACT12_M_68103","tetronic acid acaricides"
"ACT12_M_68107","spirodiclofen"
"ACT12_M_68109","spiromesifen"
"ACT12_M_68112","tetrazine acaricides"
"ACT12_M_68115","clofentezine"
"ACT12_M_68116","diflovidazin"
"ACT12_M_68122","thiazolidine acaricides"
"ACT12_M_68124","flubenzimine"
"ACT12_M_68126","hexythiazox"
"ACT12_M_68144","thiocarbamate acaricides"
"ACT12_M_68151","fenothiocarb"
"ACT12_M_68157","thiourea acaricides"
"ACT12_M_68158","chloromethiuron"
"ACT12_M_68159","diafenthiuron"
"ACT12_M_68169","unclassified acaricides"
"ACT12_M_68170","acequinocyl"
"ACT12_M_68171","acynonapyr"
"ACT12_M_68172","amidoflumet"
"ACT12_M_68173","arsenous oxide"
"ACT12_M_68191","clenpirin"
"ACT12_M_68211","closantel"
"ACT12_M_68212","crotamiton"
"ACT12_M_68221","cycloprate"
"ACT12_M_68248","cymiazole"
"ACT12_M_68249","disulfiram"
"ACT12_M_68250","etoxazole"
"ACT12_M_68251","fenazaflor"
"ACT12_M_68270","fenazaquin"
"ACT12_M_68282","fluenetil"
"ACT12_M_68283","flupentiofenox"
"ACT12_M_68285","mesulfen"
"ACT12_M_68288","MNAF"
"ACT12_M_68292","nifluridide"
"ACT12_M_68294","nikkomycins"
"ACT12_M_68296","pyridaben"
"ACT12_M_68304","sulfiram"
"ACT12_M_68305","sulfluramid"
"ACT12_M_68330","sulfur"
"ACT12_M_68331","thuringiensin"
"ACT12_M_68340","triarathene"
"ACT12_M_68440","azobenzene"
"ACT12_M_68445","benzoximate"
"ACT12_M_68458","benzyl benzoate"
"ACT12_M_68506","bromopropylate"
"ACT12_M_68521","chlorbenside"
"ACT12_M_68522","chlorfenethol"
"ACT12_M_68523","chlorfenson"
"ACT12_M_68593","chlorfensulphide"
"ACT12_M_68594","chlorobenzilate"
"ACT12_M_68600","chloropropylate"
"ACT12_M_68604","cyflumetofen"
"ACT12_M_68608","DDT"
"ACT12_M_68609","dicofol"
"ACT12_M_68696","diphenyl sulfone"
"ACT12_M_68697","dofenapyn"
"ACT12_M_68698","fenson"
"ACT12_M_68724","fentrifanil"
"ACT12_M_68811","fluorbenside"
"ACT12_M_68813","genit"
"ACT12_M_68815","hexachlorophene"
"ACT12_M_68816","phenproxide"
"ACT12_M_68817","proclonol"
"ACT12_M_68821","tetradifon"
"ACT12_M_68824","tetrasul"
"ACT12_M_68825","oxime carbamate acaricides"
"ACT12_M_68829","aldicarb"
"ACT12_M_68830","butocarboxim"
"ACT12_M_68831","oxamyl"
"ACT12_M_68833","thiocarboxime"
"ACT12_M_68836","thiofanox"
"ACT12_M_68838","carbazate acaricides"
"ACT12_M_68839","bifenazate"
"ACT12_M_68841","dinitrophenol acaricides"
"ACT12_M_68842","binapacryl"
"ACT12_M_68844","dinex"
"ACT12_M_68851","dinobuton"
"ACT12_M_68859","dinocap"
"ACT12_M_68860","dinocap-4"
"ACT12_M_68861","dinocap-6"
"ACT12_M_68869","dinocton"
"ACT12_M_68870","dinopenton"
"ACT12_M_68872","dinosulfon"
"ACT12_M_68989","dinoterbon"
"ACT12_M_68990","DNOC"
"ACT12_M_69046","formamidine acaricides"
"ACT12_M_69047","amitraz"
"ACT12_M_69053","chlordimeform"
"ACT12_M_69059","chloromebuform"
"ACT12_M_69061","formetanate"
"ACT12_M_69078","formparanate"
"ACT12_M_69116","medimeform"
"ACT12_M_69224","semiamitraz"
"ACT12_M_69232","isoxazoline acaricides"
"ACT12_M_69237","afoxolaner"
"ACT12_M_69247","esafoxolaner"
"ACT12_M_69248","fluralaner"
"ACT12_M_69250","lotilaner"
"ACT12_M_69251","sarolaner"
"ACT12_M_69286","tigolaner"
"ACT12_M_69291","macrocyclic lactone acaricides"
"ACT12_M_69292","tetranactin"
"ACT12_M_69293","avermectin acaricides"
"ACT12_M_69299","abamectin"
"ACT12_M_69304","doramectin"
"ACT12_M_69306","eprinomectin"
"ACT12_M_69310","ivermectin"
"ACT12_M_69313","selamectin"
"ACT12_M_69314","milbemycin acaricides"
"ACT12_M_69315","milbemectin"
"ACT12_M_69321","milbemycin oxime"
"ACT12_M_69322","moxidectin"
"ACT12_M_69323","mite growth regulators"
"ACT12_M_69324","clofentezine"
"ACT12_M_69325","cyromazine"
"ACT12_M_69326","diflovidazin"
"ACT12_M_69327","dofenapyn"
"ACT12_M_69329","fluazuron"
"ACT12_M_69331","flubenzimine"
"ACT12_M_69338","flucycloxuron"
"ACT12_M_69416","flufenoxuron"
"ACT12_M_69417","hexythiazox"
"ACT12_M_69432","organochlorine acaricides"
"ACT12_M_69433","bromocyclen"
"ACT12_M_69434","camphechlor"
"ACT12_M_69437","DDT"
"ACT12_M_69439","dienochlor"
"ACT12_M_69444","endosulfan"
"ACT12_M_69453","lindane"
"ACT12_M_69456","organophosphorus acaricides"
"ACT12_M_69457","organophosphate acaricides"
"ACT12_M_69472","chlorfenvinphos"
"ACT12_M_69475","crotoxyphos"
"ACT12_M_69479","dichlorvos"
"ACT12_M_69486","heptenophos"
"ACT12_M_69525","mevinphos"
"ACT12_M_69527","monocrotophos"
"ACT12_M_69559","naled"
"ACT12_M_69586","TEPP"
"ACT12_M_69591","tetrachlorvinphos"
"ACT12_M_69599","organothiophosphate acaricides"
"ACT12_M_69600","amidithion"
"ACT12_M_69601","amiton"
"ACT12_M_69650","azinphos-ethyl"
"ACT12_M_69692","azinphos-methyl"
"ACT12_M_69693","azothoate"
"ACT12_M_69695","benoxafos"
"ACT12_M_69702","bromophos"
"ACT12_M_69705","bromophos-ethyl"
"ACT12_M_69706","carbophenothion"
"ACT12_M_69708","chlorpyrifos"
"ACT12_M_69710","chlorthiophos"
"ACT12_M_69712","coumaphos"
"ACT12_M_69720","cyanthoate"
"ACT12_M_69726","demeton"
"ACT12_M_69783","demeton-O"
"ACT12_M_69799","demeton-S"
"ACT12_M_69800","demeton-methyl"
"ACT12_M_69801","demeton-O-methyl"
"ACT12_M_69806","demeton-S-methyl"
"ACT12_M_69809","demeton-S-methylsulphon"
"ACT12_M_69818","dialifos"
"ACT12_M_69841","diazinon"
"ACT12_M_69843","dimethoate"
"ACT12_M_69844","dioxathion"
"ACT12_M_69849","disulfoton"
"ACT12_M_69854","endothion"
"ACT12_M_69858","ethion"
"ACT12_M_69862","ethoate-methyl"
"ACT12_M_69864","formothion"
"ACT12_M_69866","malathion"
"ACT12_M_69869","mecarbam"
"ACT12_M_69872","methacrifos"
"ACT12_M_69878","omethoate"
"ACT12_M_69879","oxydeprofos"
"ACT12_M_69880","oxydisulfoton"
"ACT12_M_69882","parathion"
"ACT12_M_69885","phenkapton"
"ACT12_M_69886","phorate"
"ACT12_M_69887","phosalone"
"ACT12_M_69891","phosmet"
"ACT12_M_69896","phostin"
"ACT12_M_69902","phoxim"
"ACT12_M_69952","pirimiphos-methyl"
"ACT12_M_69971","prothidathion"
"ACT12_M_69972","prothoate"
"ACT12_M_69975","pyrimitate"
"ACT12_M_69978","quinalphos"
"ACT12_M_70005","quintiofos"
"ACT12_M_70040","sophamide"
"ACT12_M_70041","sulfotep"
"ACT12_M_70043","thiometon"
"ACT12_M_70061","triazophos"
"ACT12_M_70062","trifenofos"
"ACT12_M_70063","vamidothion"
"ACT12_M_70069","phosphonate acaricides"
"ACT12_M_70092","trichlorfon"
"ACT12_M_70110","phosphoramidothioate acaricides"
"ACT12_M_70114","isocarbophos"
"ACT12_M_70115","methamidophos"
"ACT12_M_70118","propetamphos"
"ACT12_M_70121","phosphorodiamide acaricides"
"ACT12_M_70122","dimefox"
"ACT12_M_70127","mipafox"
"ACT12_M_70128","schradan"
"ACT12_M_70134","organotin acaricides"
"ACT12_M_70138","azocyclotin"
"ACT12_M_70141","cyhexatin"
"ACT12_M_70178","fenbutatin oxide"
"ACT12_M_70181","phostin"
"ACT12_M_70182","phenylsulfamide acaricides"
"ACT12_M_70189","dichlofluanid"
"ACT12_M_70195","phthalimide acaricides"
"ACT12_M_70199","dialifos"
"ACT12_M_70200","phosmet"
"ACT12_M_70203","pyrazole acaricides"
"ACT12_M_70237","cyenopyrafen"
"ACT12_M_70259","cyetpyrafen"
"ACT12_M_70288","fenpyroximate"
"ACT12_M_70297","phenylpyrazole acaricides"
"ACT12_M_70301","acetoprole"
"ACT12_M_70304","fipronil"
"ACT12_M_70306","vaniliprole"
"ACT12_M_70308","pyrazolecarboxamide acaricides"
"ACT12_M_70309","pyflubumide"
"ACT12_M_70311","tebufenpyrad"
"ACT12_M_70313","pyrethroid acaricides"
"ACT12_M_70317","pyrethroid ester acaricides"
"ACT12_M_70319","acrinathrin"
"ACT12_M_70322","bifenthrin"
"ACT12_M_70371","brofluthrinate"
"ACT12_M_70372","cyhalothrin"
"ACT12_M_70373","cypermethrin"
"ACT12_M_70383","alpha-cypermethrin"
"ACT12_M_70384","fenpropathrin"
"ACT12_M_70386","fenvalerate"
"ACT12_M_70388","flucythrinate"
"ACT12_M_70395","flumethrin"
"ACT12_M_70400","fluvalinate"
"ACT12_M_70404","tau-fluvalinate"
"ACT12_M_70406","permethrin"
"ACT12_M_70416","pyrethroid ether acaricides"
"ACT12_M_70448","halfenprox"
"ACT12_M_70454","pyrimidinamine acaricides"
"ACT12_M_70455","pyrimidifen"
"ACT12_M_70460","pyrrole acaricides"
"ACT12_M_70466","chlorfenapyr"
"ACT12_M_70467","quaternary ammonium acaricides"
"ACT12_M_70469","sanguinarine"
"ACT12_M_70470","quinoxaline acaricides"
"ACT12_M_70497","chinomethionat"
"ACT12_M_70500","thioquinox"
"ACT12_M_70503","strobilurin acaricides"
"ACT12_M_70504","methoxyacrylate strobilurin acaricides"
"ACT12_M_70508","bifujunzhi"
"ACT12_M_70519","fluacrypyrim"
"ACT12_M_70533","flufenoxystrobin"
"ACT12_M_70534","pyriminostrobin"
"ACT12_M_70535","sulfite ester acaricides"
"ACT12_M_70606","aramite"
"ACT12_M_70608","propargite"
"ACT12_M_70614","tetronic acid acaricides"
"ACT12_M_70619","spirodiclofen"
"ACT12_M_70624","spiromesifen"
"ACT12_M_70626","tetrazine acaricides"
"ACT12_M_70633","clofentezine"
"ACT12_M_70639","diflovidazin"
"ACT12_M_70640","thiazolidine acaricides"
"ACT12_M_70643","flubenzimine"
"ACT12_M_70647","hexythiazox"
"ACT12_M_70648","thiocarbamate acaricides"
"ACT12_M_70650","fenothiocarb"
"ACT12_M_70651","thiourea acaricides"
"ACT12_M_70672","chloromethiuron"
"ACT12_M_70674","diafenthiuron"
"ACT12_M_70675","unclassified acaricides"
"ACT12_M_70676","acequinocyl"
"ACT12_M_70680","acynonapyr"
"ACT12_M_70683","amidoflumet"
"ACT12_M_70709","arsenous oxide"
"ACT12_M_70718","clenpirin"
"ACT12_M_70720","closantel"
"ACT12_M_70722","crotamiton"
"ACT12_M_70728","cycloprate"
"ACT12_M_70730","cymiazole"
"ACT12_M_70731","disulfiram"
"ACT12_M_70735","etoxazole"
"ACT12_M_70736","fenazaflor"
"ACT12_M_70761","fenazaquin"
"ACT12_M_70770","fluenetil"
"ACT12_M_70771","flupentiofenox"
"ACT12_M_70773","mesulfen"
"ACT12_M_70776","MNAF"
"ACT12_M_70784","nifluridide"
"ACT12_M_70808","nikkomycins"
"ACT12_M_70817","pyridaben"
"ACT12_M_70822","sulfiram"
"ACT12_M_70823","sulfluramid"
"ACT12_M_70824","sulfur"
"ACT12_M_70827","thuringiensin"
"ACT12_M_70829","triarathene"
"ACT12_M_70832","azobenzene"
"ACT12_M_70833","benzoximate"
"ACT12_M_70854","benzyl benzoate"
"ACT12_M_70855","bromopropylate"
"ACT12_M_70882","chlorbenside"
"ACT12_M_70896","chlorfenethol"
"ACT12_M_70897","chlorfenson"
"ACT12_M_70898","chlorfensulphide"
"ACT12_M_70903","chlorobenzilate"
"ACT12_M_70904","chloropropylate"
"ACT12_M_70905","cyflumetofen"
"ACT12_M_70908","DDT"
"ACT12_M_70922","dicofol"
"ACT12_M_70930","diphenyl sulfone"
"ACT12_M_70975","dofenapyn"
"ACT12_M_70992","fenson"
"ACT12_M_70993","fentrifanil"
"ACT12_M_71006","fluorbenside"
"ACT12_M_71020","genit"
"ACT12_M_71031","hexachlorophene"
"ACT12_M_71032","phenproxide"
"ACT12_M_71033","proclonol"
"ACT12_M_71035","tetradifon"
"ACT12_M_71059","tetrasul"
"ACT12_M_71070","oxime carbamate acaricides"
"ACT12_M_71074","aldicarb"
"ACT12_M_71076","butocarboxim"
"ACT12_M_71077","oxamyl"
"ACT12_M_71079","thiocarboxime"
"ACT12_M_71080","thiofanox"
"ACT12_M_71081","carbazate acaricides"
"ACT12_M_71084","bifenazate"
"ACT12_M_71089","dinitrophenol acaricides"
"ACT12_M_71092","binapacryl"
"ACT12_M_71101","dinex"
"ACT12_M_71119","dinobuton"
"ACT12_M_71124","dinocap"
"ACT12_M_71131","dinocap-4"
"ACT12_M_71133","dinocap-6"
"ACT12_M_71137","dinocton"
"ACT12_M_71138","dinopenton"
"ACT12_M_71144","dinosulfon"
"ACT12_M_71145","dinoterbon"
"ACT12_M_71146","DNOC"
"ACT12_M_71147","formamidine acaricides"
"ACT12_M_71149","amitraz"
"ACT12_M_71150","chlordimeform"
"ACT12_M_71153","chloromebuform"
"ACT12_M_71154","formetanate"
"ACT12_M_71158","formparanate"
"ACT12_M_71164","medimeform"
"ACT12_M_71210","semiamitraz"
"ACT12_M_71211","isoxazoline acaricides"
"ACT12_M_71214","afoxolaner"
"ACT12_M_71233","esafoxolaner"
"ACT12_M_71288","fluralaner"
"ACT12_M_71301","lotilaner"
"ACT12_M_71310","sarolaner"
"ACT12_M_71312","tigolaner"
"ACT12_M_71320","macrocyclic lactone acaricides"
"ACT12_M_71321","tetranactin"
"ACT12_M_71322","avermectin acaricides"
"ACT12_M_71327","abamectin"
"ACT12_M_71331","doramectin"
"ACT12_M_71335","eprinomectin"
"ACT12_M_71336","ivermectin"
"ACT12_M_71372","selamectin"
"ACT12_M_71449","milbemycin acaricides"
"ACT12_M_71460","milbemectin"
"ACT12_M_71461","milbemycin oxime"
"ACT12_M_71463","moxidectin"
"ACT12_M_71474","mite growth regulators"
"ACT12_M_71476","clofentezine"
"ACT12_M_71481","cyromazine"
"ACT12_M_71486","diflovidazin"
"ACT12_M_71496","dofenapyn"
"ACT12_M_71500","fluazuron"
"ACT12_M_71503","flubenzimine"
"ACT12_M_71505","flucycloxuron"
"ACT12_M_71507","flufenoxuron"
"ACT12_M_71519","hexythiazox"
"ACT12_M_71535","organochlorine acaricides"
"ACT12_M_71549","bromocyclen"
"ACT12_M_71571","camphechlor"
"ACT12_M_71583","DDT"
"ACT12_M_71587","dienochlor"
"ACT12_M_71589","endosulfan"
"ACT12_M_71593","lindane"
"ACT12_M_71597","organophosphorus acaricides"
"ACT12_M_71598","organophosphate acaricides"
"ACT12_M_71599","chlorfenvinphos"
"ACT12_M_71614","crotoxyphos"
"ACT12_M_71629","dichlorvos"
"ACT12_M_71654","heptenophos"
"ACT12_M_71678","mevinphos"
"ACT12_M_71686","monocrotophos"
"ACT12_M_71688","naled"
"ACT12_M_71693","TEPP"
"ACT12_M_71697","tetrachlorvinphos"
"ACT12_M_71713","organothiophosphate acaricides"
"ACT12_M_71714","amidithion"
"ACT12_M_71715","amiton"
"ACT12_M_71716","azinphos-ethyl"
"ACT12_M_71753","azinphos-methyl"
"ACT12_M_71754","azothoate"
"ACT12_M_71755","benoxafos"
"ACT12_M_71759","bromophos"
"ACT12_M_71760","bromophos-ethyl"
"ACT12_M_71761","carbophenothion"
"ACT12_M_71763","chlorpyrifos"
"ACT12_M_71764","chlorthiophos"
"ACT12_M_71765","coumaphos"
"ACT12_M_71780","cyanthoate"
"ACT12_M_71788","demeton"
"ACT12_M_71810","demeton-O"
"ACT12_M_71831","demeton-S"
"ACT12_M_71842","demeton-methyl"
"ACT12_M_71858","demeton-O-methyl"
"ACT12_M_71925","demeton-S-methyl"
"ACT12_M_71926","demeton-S-methylsulphon"
"ACT12_M_71928","dialifos"
"ACT12_M_71929","diazinon"
"ACT12_M_71939","dimethoate"
"ACT12_M_71941","dioxathion"
"ACT12_M_71942","disulfoton"
"ACT12_M_71943","endothion"
"ACT12_M_71960","ethion"
"ACT12_M_71968","ethoate-methyl"
"ACT12_M_71979","formothion"
"ACT12_M_71986","malathion"
"ACT12_M_71987","mecarbam"
"ACT12_M_71992","methacrifos"
"ACT12_M_71994","omethoate"
"ACT12_M_71995","oxydeprofos"
"ACT12_M_71996","oxydisulfoton"
"ACT12_M_72003","parathion"
"ACT12_M_72004","phenkapton"
"ACT12_M_72005","phorate"
"ACT12_M_72009","phosalone"
"ACT12_M_72010","phosmet"
"ACT12_M_72045","phostin"
"ACT12_M_72068","phoxim"
"ACT12_M_72082","pirimiphos-methyl"
"ACT12_M_72083","prothidathion"
"ACT12_M_72084","prothoate"
"ACT12_M_72085","pyrimitate"
"ACT12_M_72086","quinalphos"
"ACT12_M_72088","quintiofos"
"ACT12_M_72090","sophamide"
"ACT12_M_72092","sulfotep"
"ACT12_M_72097","thiometon"
"ACT12_M_72099","triazophos"
"ACT12_M_72101","trifenofos"
"ACT12_M_72105","vamidothion"
"ACT12_M_72110","phosphonate acaricides"
"ACT12_M_72124","trichlorfon"
"ACT12_M_72125","phosphoramidothioate acaricides"
"ACT12_M_72171","isocarbophos"
"ACT12_M_72173","methamidophos"
"ACT12_M_72174","propetamphos"
"ACT12_M_72222","phosphorodiamide acaricides"
"ACT12_M_72223","dimefox"
"ACT12_M_72224","mipafox"
"ACT12_M_72232","schradan"
"ACT12_M_72236","organotin acaricides"
"ACT12_M_72237","azocyclotin"
"ACT12_M_72238","cyhexatin"
"ACT12_M_72239","fenbutatin oxide"
"ACT12_M_72243","phostin"
"ACT12_M_72244","phenylsulfamide acaricides"
"ACT12_M_72256","dichlofluanid"
"ACT12_M_72257","phthalimide acaricides"
"ACT12_M_72258","dialifos"
"ACT12_M_72260","phosmet"
"ACT12_M_72261","pyrazole acaricides"
"ACT12_M_72350","cyenopyrafen"
"ACT12_M_72356","cyetpyrafen"
"ACT12_M_72357","fenpyroximate"
"ACT12_M_72358","phenylpyrazole acaricides"
"ACT12_M_72359","acetoprole"
"ACT12_M_72368","fipronil"
"ACT12_M_72387","vaniliprole"
"ACT12_M_72388","pyrazolecarboxamide acaricides"
"ACT12_M_72389","pyflubumide"
"ACT12_M_72391","tebufenpyrad"
"ACT12_M_72393","pyrethroid acaricides"
"ACT12_M_72395","pyrethroid ester acaricides"
"ACT12_M_72465","acrinathrin"
"ACT12_M_72466","bifenthrin"
"ACT12_M_72477","brofluthrinate"
"ACT12_M_72485","cyhalothrin"
"ACT12_M_72488","cypermethrin"
"ACT12_M_72490","alpha-cypermethrin"
"ACT12_M_72499","fenpropathrin"
"ACT12_M_72543","fenvalerate"
"ACT12_M_72574","flucythrinate"
"ACT12_M_72595","flumethrin"
"ACT12_M_72596","fluvalinate"
"ACT12_M_72599","tau-fluvalinate"
"ACT12_M_72601","permethrin"
"ACT12_M_72602","pyrethroid ether acaricides"
"ACT12_M_72604","halfenprox"
"ACT12_M_72608","pyrimidinamine acaricides"
"ACT12_M_72617","pyrimidifen"
"ACT12_M_72618","pyrrole acaricides"
"ACT12_M_72620","chlorfenapyr"
"ACT12_M_72636","quaternary ammonium acaricides"
"ACT12_M_72637","sanguinarine"
"ACT12_M_72638","quinoxaline acaricides"
"ACT12_M_72639","chinomethionat"
"ACT12_M_72646","thioquinox"
"ACT12_M_72651","strobilurin acaricides"
"ACT12_M_72652","methoxyacrylate strobilurin acaricides"
"ACT12_M_72653","bifujunzhi"
"ACT12_M_72654","fluacrypyrim"
"ACT12_M_72655","flufenoxystrobin"
"ACT12_M_72656","pyriminostrobin"
"ACT12_M_72657","sulfite ester acaricides"
"ACT12_M_72662","aramite"
"ACT12_M_72664","propargite"
"ACT12_M_72666","tetronic acid acaricides"
"ACT12_M_72667","spirodiclofen"
"ACT12_M_72668","spiromesifen"
"ACT12_M_72670","tetrazine acaricides"
"ACT12_M_72672","clofentezine"
"ACT12_M_72674","diflovidazin"
"ACT12_M_72677","thiazolidine acaricides"
"ACT12_M_72725","flubenzimine"
"ACT12_M_72728","hexythiazox"
"ACT12_M_72763","thiocarbamate acaricides"
"ACT12_M_72775","fenothiocarb"
"ACT12_M_72776","thiourea acaricides"
